日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20170928,10001017.SH,510050P1711M02650,2.65,0.0179,0.0179,0.013,0.0134,6127.0,2978.0,925803.0,10000,20171122,510050.SH,2.715,-0.22,-0.084,2.868,0.312,-0.092,0.0495365387986,0.0633586170512,0.0967982257694,0.112328714706,0.122102807033,0.113539893722,0.107477200513,0.103560292483,L2,IH1711,2679.8
20170929,10001017.SH,510050P1711M02650,2.65,0.0133,0.0133,0.009,0.0105,3278.0,3751.0,324479.0,10000,20171122,510050.SH,2.726,-0.184,-0.076,2.64,0.279,-0.076,0.0539027208937,0.0654614672576,0.0966557413031,0.112297059165,0.122077453335,0.113611828537,0.107530886848,0.103502213669,L2,IH1711,2694.0
20171009,10001017.SH,510050P1711M02650,2.65,0.0058,0.0083,0.0034,0.0075,5491.0,4695.0,339327.0,10000,20171122,510050.SH,2.75,-0.137,-0.083,2.113,0.209,-0.046,0.0681318161161,0.0729284279687,0.0992073319225,0.113025824388,0.113770500659,0.114052259819,0.107444344015,0.103892717805,L2,IH1711,2710.4
20171010,10001017.SH,510050P1711M02650,2.65,0.0068,0.0087,0.0058,0.0068,5819.0,7561.0,444597.0,10000,20171122,510050.SH,2.746,-0.133,-0.078,2.194,0.202,-0.044,0.0657278206945,0.0686822634785,0.0961097788739,0.111229047253,0.113759716392,0.113960493187,0.107487207423,0.103848790602,L2,IH1711,2706.6
20171011,10001017.SH,510050P1711M02650,2.65,0.0069,0.0069,0.0041,0.0047,3827.0,8624.0,190691.0,10000,20171122,510050.SH,2.762,-0.099,-0.065,1.787,0.163,-0.032,0.0686497044204,0.0686890973718,0.0954934661009,0.111417988706,0.113941838448,0.113497028726,0.107653713518,0.103816698022,L2,IH1711,2721.8
20171012,10001017.SH,510050P1711M02650,2.65,0.0047,0.0054,0.0034,0.0038,2428.0,9466.0,108352.0,10000,20171122,510050.SH,2.773,-0.082,-0.06,1.543,0.141,-0.026,0.0685887378271,0.0640588612328,0.0950575645501,0.10752424296,0.113754140713,0.113558323239,0.107302437453,0.103765143662,L2,IH1711,2729.8
20171013,10001017.SH,510050P1711M02650,2.65,0.004,0.0043,0.0036,0.0038,1001.0,9354.0,39543.0,10000,20171122,510050.SH,2.771,-0.083,-0.061,1.577,0.14,-0.026,0.0693350307965,0.0636530768003,0.0730563333707,0.105851588287,0.112761630738,0.113054186479,0.107109670141,0.103618933155,L2,IH1711,2729.8
20171016,10001017.SH,510050P1711M02650,2.65,0.0038,0.0039,0.0025,0.0029,1804.0,9511.0,50681.0,10000,20171122,510050.SH,2.781,-0.067,-0.056,1.35,0.115,-0.019,0.0694658591091,0.0630965775515,0.0663897590508,0.106004924794,0.110842241437,0.112470410439,0.107140683894,0.102799120957,L2,IH1711,2738.2
20171017,10001017.SH,510050P1711M02650,2.65,0.0026,0.0028,0.0021,0.0025,5419.0,10083.0,135362.0,10000,20171122,510050.SH,2.779,-0.061,-0.051,1.315,0.105,-0.017,0.0704749116941,0.0606639389599,0.0664004141792,0.1056583558,0.110624501147,0.112462905916,0.107158479213,0.102636135897,L2,IH1711,2735.8
20171018,10001017.SH,510050P1711M02650,2.65,0.0026,0.0026,0.0019,0.0021,5788.0,10494.0,123964.0,10000,20171122,510050.SH,2.802,-0.047,-0.047,0.995,0.086,-0.013,0.0567975517048,0.0649920433331,0.06862048931,0.102125814396,0.110428302935,0.112804801458,0.107537084732,0.102788328584,L2,IH1711,2755.2
